#DS_DDI,drug_name,GPI,KDC,route,dosage_form,ddi_strength,strength_units,lastchange
3999,"Catheter Self-Adhesive Urinary",97150500006300,0,XX,MISC,,,20140101
4003,"Catnip",96300016002900,0,XX,POWD,,,20140101
4022,"Cedarwood Oil",96202532001700,1114401,XX,OIL ,,,20170405
4025,"CeeNU",21102020000110,25001,OR,CAPS,"10","MG",20140101
4026,"CeeNU",21102020000120,25001,OR,CAPS,"100","MG",20140101
4028,"CeeNU",21102020000115,25001,OR,CAPS,"40","MG",20140101
4043,"CeFAZolin Sodium",02100015102115,25401,IJ,SOLR,"1","GM",20140101
4044,"CeFAZolin Sodium",02100015102125,25401,IJ,SOLR,"10","GM",20140101
4045,"CeFAZolin Sodium",02100015102140,25401,IJ,SOLR,"20","GM",20161005
4048,"CeFAZolin Sodium",02100015102110,25401,IJ,SOLR,"500","MG",20140101
4059,"Cefotan",02200057102110,368701,IJ,SOLR,"1","GM",20160406
4061,"Cefotan",02200057102120,368701,IJ,SOLR,"2","GM",20160406
4063,"Ceftin",02200065050310,278702,OR,TABS,"250","MG",20140101
4064,"Ceftin",02200065050315,278702,OR,TABS,"500","MG",20140101
4065,"Cefuroxime Sodium",02200065102110,278701,IJ,SOLR,"1.5","GM",20180704
4066,"Cefuroxime Sodium",02200065102140,278701,IJ,SOLR,"7.5","GM",20140101
4067,"Cefuroxime Sodium",02200065102105,278701,IJ,SOLR,"750","MG",20140101
4081,"Celontin",72400020000110,2521201,OR,CAPS,"300","MG",20180704
4083,"Cemill SR",77108010000410,9601,OR,TBCR,"1000","MG",20140101
4084,"Cemill Plus",78160000000300,1776801,OR,TABS,,,20140101
4113,"Cerovite Advanced Formula",78310000000300,2974701,OR,TABS,,,20140101
4114,"Centrum",78310000000900,3477401,OR,LIQD,,,20150401
4115,"Centrum",78310000000300,598701,OR,TABS,,,20150107
4119,"Centrum Silver",78310000000300,2902301,OR,TABS,,,20140101
4120,"Century",78310000000300,2616301,OR,TABS,,,20140101
4126,"Ceo-Two",46600050005200,2843001,RE,SUPP,,,20140101
4129,"Cepacol Mouthwash/Gargle",88300009100910,2219601,MT,LIQD,"0.05","%",20180704
4159,"Cerovite Jr",78421000000530,3294401,OR,CHEW,"60","MG",20140101
4163,"Certagen",78310000000300,623601,OR,TABS,,,20140101
4168,"Cesamet",50300040000110,2518101,OR,CAPS,"1","MG",20140402
4170,"Cetacaine",90859903403220,2116101,EX,AERO,"2-2-14","%",20160406
4184,"Cetaphil",90650000003700,2624601,EX,CREA,,,20140101
4190,"Cetylcide-G",92000010001300,553901,XX,CONC,,,20140101
4203,"Chapstick",90920000009300,3194001,EX,STCK,,,20140101
4206,"Charcoal",93000010100110,251401,OR,CAPS,"260","MG",20140101
4208,"Charcoal",93000010102900,251401,XX,POWD,,,20140101
4209,"Charcoal Activated",93000010100110,251401,OR,CAPS,"260","MG",20140101
4230,"Chek-Stix Control",94100005006100,0,VI,STRP,,,20140101
4232,"Chelated Magnesium",79400010000308,74701,OR,TABS,"100","MG",20140101
4233,"Chelated Potassium",79700005000310,473301,OR,TABS,"99","MG",20140101
4234,"Chelated Zinc",79800005000350,274524,OR,TABS,"50","MG",20140101
4251,"Chemet",93100080000120,549501,OR,CAPS,"100","MG",20140101
4257,"Chemstrip bG Log Book",97202010006330,0,XX,MISC,,,20140101
4259,"Chemstrip uGK",94109902406100,0,VI,STRP,,,20140101
4260,"Chemstrip 10/SG",94109900006100,0,VI,STRP,,,20140101
4261,"Chemstrip 2",94100046006000,0,VI,STRP,,,20140101
4262,"Chemstrip 2 GP",94109900006100,0,VI,STRP,,,20140101
4265,"Chemstrip 7",94109900006100,0,VI,STRP,,,20140101
4267,"Chemstrip 9",94109900006100,0,VI,STRP,,,20140101
4268,"Chemstrip K",94100005006100,0,VI,STRP,,,20140101
4283,"Cheratussin AC",43997002282020,3147901,OR,SYRP,"100-10","MG/5ML",20140101
4284,"Cheratussin DAC",43997303302010,2332201,OR,SOLN,"30-10-100","MG/5ML",20140101
4286,"Cherry",98402020001200,144301,OR,SYRP,,,20140101
4317,"Chiggerex",90850010004205,13401,EX,OINT,"2","%",20140101
4318,"Chiggertox",90850010000902,13401,EX,LIQD,"2.1","%",20140101
4340,"Childrens APAP",64200010000505,3339201,OR,CHEW,"80","MG",20150701
4344,"Childrens Advil",66100020001820,3500501,OR,SUSP,"100","MG/5ML",20150401
4374,"Childrens Non-Aspirin",64200010000505,501,OR,CHEW,"80","MG",20140101
4378,"Childrens Pain Reliever",64200010000505,2062201,OR,CHEW,"80","MG",20140101
4379,"Childrens Pain Reliever",64200010001840,2978901,OR,SUSP,"160","MG/5ML",20140702
4382,"Childrens Silapap",64200010000912,2156701,OR,LIQD,"160","MG/5ML",20140101
4392,"Childrens Chewable Vitamins",78412000000500,2785501,OR,CHEW,,,20170405
4413,"Chlor-Trimeton",41100020151205,358801,OR,SYRP,"2","MG/5ML",20140101
4414,"Chlor-Trimeton",41100020150310,29401,OR,TABS,"4","MG",20140101
4445,"Chloraseptic",88150070000935,2160901,MT,LIQD,"1.4","%",20151007
4447,"Chloraseptic",88359902154740,2136701,MT,LOZG,"6-10","MG",20140101
4453,"ChlordiazePOXIDE HCl",57100020100110,27602,OR,CAPS,"10","MG",20140101
4454,"ChlordiazePOXIDE HCl",57100020100115,27602,OR,CAPS,"25","MG",20140101
4455,"ChlordiazePOXIDE HCl",57100020100105,27602,OR,CAPS,"5","MG",20140101
4464,"Chlorhexidine Gluconate",92100030102020,743401,EX,SOLN,"4","%",20150401
4473,"Chloroform",96201040002000,28401,XX,SOLN,,,20140101
4485,"Chlorophyll",99000025000315,28503,OR,TABS,"10","MG",20140101
4486,"Chloroprocaine HCl",69200040102010,28601,IJ,SOLN,"2","%",20161005
4490,"Chloroquine Phosphate",13000010200305,28701,OR,TABS,"250","MG",20170104
4491,"Chloroquine Phosphate",13000010200310,28701,OR,TABS,"500","MG",20140101
4493,"Chlorothiazide",37600020000305,28901,OR,TABS,"250","MG",20140101
4494,"Chlorothiazide",37600020000310,28901,OR,TABS,"500","MG",20140101
4503,"Chlorpheniramine Maleate",41100020151205,29401,OR,SYRP,"2","MG/5ML",20140101
4504,"Chlorpheniramine Maleate",41100020150310,29401,OR,TABS,"4","MG",20140101
4505,"Chlorpheniramine Maleate ER",41100020150410,29401,OR,TBCR,"12","MG",20140101
4512,"ChlorproMAZINE HCl",59200015102005,29702,IJ,SOLN,"25","MG/ML",20140101
4516,"ChlorproMAZINE HCl",59200015100305,29702,OR,TABS,"10","MG",20140101
4517,"ChlorproMAZINE HCl",59200015100320,29702,OR,TABS,"100","MG",20140101
4518,"ChlorproMAZINE HCl",59200015100325,29702,OR,TABS,"200","MG",20140101
4519,"ChlorproMAZINE HCl",59200015100310,29702,OR,TABS,"25","MG",20140101
4520,"ChlorproMAZINE HCl",59200015100315,29702,OR,TABS,"50","MG",20140101
4521,"ChlorproPAMIDE",27200020000305,29801,OR,TABS,"100","MG",20140101
4522,"ChlorproPAMIDE",27200020000310,29801,OR,TABS,"250","MG",20140101
4524,"Chlorthalidone",37600025000315,30101,OR,TABS,"100","MG",20140101
4525,"Chlorthalidone",37600025000305,30101,OR,TABS,"25","MG",20160706
4526,"Chlorthalidone",37600025000310,30101,OR,TABS,"50","MG",20170104
4531,"Chlorzoxazone",75100040000310,30201,OR,TABS,"500","MG",20180704
4547,"Cholestatin",99850000000300,805105,OR,TABS,"100-50-40","MG",20160106
4557,"Cholografin Meglumine",94402040102010,3443101,IJ,SOLN,"52","%",20140702
4570,"Chorionic Gonadotropin",30062020002140,31001,IM,SOLR,"10000","UNIT",20140101
4577,"Chromagen",82992000000100,3776201,OR,CAPS,,,20170405
4580,"Chromelin",90871060002010,43301,EX,SOLN,"5","%",20140101
4582,"Chromium",79900030000120,252901,OR,CAPS,"200","MCG",20140101
4584,"Chromium",79900030000320,252901,OR,TABS,"200","MCG",20140101
4587,"Chromium Aspartate",79900030000350,252901,OR,TABS,"1000","MCG",20140101
4592,"Chromium Picolinate",79900030500310,252904,OR,TABS,"200","MCG",20140101
4600,"Ciloxan",86101023102010,2476801,OP,SOLN,"0.3","%",20140101
4601,"Cimetidine HCl",49200010102050,31302,OR,SOLN,"300","MG/5ML",20140101
4608,"Cinnamon Oil",96202536001700,1083101,XX,OIL ,,,20170405
4617,"Cipro",05000020100310,370502,OR,TABS,"250","MG",20140101
4618,"Cipro",05000020100315,370502,OR,TABS,"500","MG",20140101
4629,"Citrate of Magnesia",46100020102000,75101,OR,SOLN,,,20140101
4631,"Citric Acid",96300018002700,31701,XX,GRAN,,,20140101
4632,"Citric Acid",96300018002900,31701,XX,POWD,,,20140101
4635,"Citrocarbonate",48990002607710,166201,OR,GREF,"0.78-1.82","GM/DOSE",20140101
4636,"Citrolith",56202025000310,383701,OR,TABS,"50-950","MG",20140101
4637,"Citronella Oil",96202540001700,547001,XX,OIL ,,,20140101
4640,"Citrucel",46300010002900,84401,OR,POWD,,,20140101
4642,"Citrus Bioflavonoids",77303010000350,265201,OR,TABS,"1000","MG",20140101
4647,"Claforan",02300075102105,247701,IJ,SOLR,"1","GM",20140101
4648,"Claforan",02300075102115,247701,IJ,SOLR,"10","GM",20140101
4649,"Claforan",02300075102110,247701,IJ,SOLR,"2","GM",20140101
4650,"Claforan",02300075102103,247701,IJ,SOLR,"500","MG",20140101
4668,"Claritin",41550030000320,3771401,OR,TABS,"10","MG",20170405
4673,"Cleaner",86902000002000,0,XX,SOLN,,,20140101
4699,"Clearplex V",90050010004010,13901,EX,GEL ,"5","%",20140101
4704,"Cleft Lip/Palate Nurser",97550000006300,0,XX,MISC,,,20140101
4705,"Clemastine Fumarate",41200020401205,31901,OR,SYRP,"0.67","MG/5ML",20140101
4706,"Clemastine Fumarate",41200020400305,31901,OR,TABS,"1.34","MG",20140101
4707,"Clemastine Fumarate",41200020400310,31901,OR,TABS,"2.68","MG",20170104
4711,"Cleocin",16220020100110,2457901,OR,CAPS,"150","MG",20140101
4712,"Cleocin",16220020100120,2219401,OR,CAPS,"300","MG",20140101
4713,"Cleocin",16220020100105,2457901,OR,CAPS,"75","MG",20140101
4715,"Cleocin",55100018103720,1013401,VA,CREA,"2","%",20140101
4716,"Cleocin-T",90051010104005,2954701,EX,GEL ,"1","%",20140101
4717,"Cleocin-T",90051010104105,2955001,EX,LOTN,"1","%",20140101
4718,"Cleocin-T",90051010102005,2463701,EX,SOLN,"1","%",20140101
4722,"Chlordiazepoxide-Clidinium",49109902450110,463201,OR,CAPS,"5-2.5","MG",20160406
4727,"Clindamycin HCl",16220020100110,32201,OR,CAPS,"150","MG",20180704
4728,"Clindamycin HCl",16220020100105,32201,OR,CAPS,"75","MG",20140101
4729,"Clindamycin Phosphate",90051010102005,32203,EX,SOLN,"1","%",20140101
4731,"Clindamycin Phosphate",96466427302900,32203,XX,POWD,,,20140101
4737,"Clinistix",94100035106100,0,VI,STRP,,,20140101
4743,"Clioquinol",90150040002900,68501,XX,POWD,,,20140101
4749,"Cloderm",90550030103705,2015401,EX,CREA,"0.1","%",20140402
4752,"ClomiPHENE Citrate",30066030100305,32401,OR,TABS,"50","MG",20140101
4753,"ClomiPRAMINE HCl",58200025100130,469701,OR,CAPS,"50","MG",20140101
4756,"CloNIDine HCl",36201010100305,32602,OR,TABS,"0.1","MG",20140101
4757,"CloNIDine HCl",36201010100310,32602,OR,TABS,"0.2","MG",20160406
4758,"CloNIDine HCl",36201010100315,32602,OR,TABS,"0.3","MG",20180704
4764,"Clorazepate Dipotassium",57100030100320,32701,OR,TABS,"15","MG",20140101
4765,"Clorazepate Dipotassium",57100030100305,32701,OR,TABS,"3.75","MG",20140101
4766,"Clorazepate Dipotassium",57100030100310,32701,OR,TABS,"7.5","MG",20140101
4771,"Clorpactin",92100050102900,94501,XX,POWD,"2","GM",20140101
4778,"Closed Pouch/Filter/Flange",97151000006340,0,XX,MISC,,,20140101
4779,"Clotrimazole",90154020003705,32901,EX,CREA,"1","%",20140101
4780,"Clotrimazole",90154020002005,32901,EX,SOLN,"1","%",20140101
4781,"Clotrimazole",55104020003705,32901,VA,CREA,"1","%",20140101
4783,"Clove Oil",96202544001700,33001,XX,OIL ,,,20140101
4784,"Cloverine Salve",90159900004200,1222901,EX,OINT,,,20140101
4802,"Clozaril",59152020000330,531301,OR,TABS,"100","MG",20140101
4803,"Clozaril",59152020000320,531301,OR,TABS,"25","MG",20140101
4816,"Co-Gesic",65991702100310,245201,OR,TABS,"5-500","MG",20150107
4827,"Coal Tar Extract",90520010002020,33201,EX,SOLN,"20","%",20140101
4830,"Coats Aloe Vera",90970005003775,3301,EX,CREA,"75","%",20140101
4831,"Coats Aloe Vera",90970005004090,3301,EX,GEL ,"90","%",20140101
4832,"Coats Aloe Vera",90970005000900,3009101,EX,LIQD,,,20140101
4833,"Coats Aloe Vera Moisturizing",90970005004100,3638001,EX,LOTN,,,20160106
4834,"Coats Aloe Vera",46200005000900,3303,OR,LIQD,,,20160406
4839,"Coban Action Wrap",97350000000000,0,XX,MISC,,,20140101
4843,"Cocaine HCl",90850030002020,33302,EX,SOLN,"10","%",20140101
4844,"Cocaine HCl",90850030002010,33302,EX,SOLN,"4","%",20140101
4851,"Cocoa Butter",98350010006300,33601,XX,MISC,,,20140101
4852,"Coconut Oil",96202010001700,1078101,XX,OIL ,,,20140101
4853,"Cod Liver Oil",78101030000100,688301,OR,CAPS,,,20140101
4854,"Cod Liver Oil",78101030001700,688301,OR,OIL ,,,20140101
4872,"Codeine Phosphate",65100020102900,33702,XX,POWD,,,20140101
4873,"Codeine Sulfate",65100020200305,33703,OR,TABS,"15","MG",20160106
4874,"Codeine Sulfate",65100020200310,33703,OR,TABS,"30","MG",20160106
4875,"Codeine Sulfate",65100020200315,33703,OR,TABS,"60","MG",20160106
4895,"Cogentin",73100010102005,14401,IJ,SOLN,"1","MG/ML",20140101
4906,"Colace",46500010300110,1977501,OR,CAPS,"100","MG",20150401
4907,"Colace",46500010300105,44601,OR,CAPS,"50","MG",20140101
4913,"Colchicine",68000020000310,33801,OR,TABS,"0.6","MG",20170104
4935,"Cold Cream",98600010003700,539201,EX,CREA,,,20170104
4959,"Colestid",39100020102705,33901,OR,GRAN,"5","GM",20140101
4981,"Colladerm",90990000004100,1091001,EX,LOTN,,,20140101
4984,"Collodion Flexible",98403050000900,34301,EX,LIQD,,,20140101
5001,"Coly-Mycin M",16000015002105,34001,IJ,SOLR,"150","MG",20140101
5003,"Coly-Mycin S",87991004201820,2514001,OT,SUSP,"3.3-3-10-0.5","MG/ML",20140101
5010,"Combination Cone/Tube Drain",97151000006300,0,XX,MISC,,,20140101
5016,"Combistix",94109900006100,0,VI,STRP,,,20140101
5044,"Compazine",59200055100310,112703,OR,TABS,"10","MG",20140402
5046,"Compazine",59200055100305,112703,OR,TABS,"5","MG",20140402
5048,"Compazine",59200055005215,112701,RE,SUPP,"25","MG",20140101
5050,"Compete",78310000000300,414501,OR,TABS,,,20140101
5051,"Compleat",81200000000900,3642701,OR,LIQD,,,20160106
5054,"Complere",78310000000300,517501,OR,TABS,,,20140101
5056,"Complete Allergy",41200030100105,45201,OR,CAPS,"25","MG",20140101
5057,"Complete Allergy Medicine",41200030100305,45201,OR,TABS,"25","MG",20140101
5058,"Complete Allergy Relief",41200030100305,45201,OR,TABS,"25","MG",20140101
5063,"Complex 15",90650000003700,1087801,EX,CREA,,,20140101
5064,"Complex 15",90650000004100,2331601,EX,LOTN,,,20140101
5065,"Complex B-100",78520000000400,583301,OR,TBCR,,,20140101
5070,"Compoz",60300020100310,45201,OR,TABS,"50","MG",20140101
5111,"Premium Condoms Lubricated",97401010106200,0,XX,MISC,,,20140101
5114,"Condylox",90750015002020,664201,EX,SOLN,"0.5","%",20140101
5115,"Cone/Tube Irrigation Set",97151000006400,0,XX,KIT ,,,20140101
5129,"Congestac",43996202300320,426001,OR,TABS,"60-400","MG",20140101
5141,"Conray",94402050102005,68901,IJ,SOLN,"60","%",20140101
5142,"Conray 30",94402050102002,68901,IV,SOLN,"30","%",20140101
5145,"Conray 43",94402050102003,68901,IV,SOLN,"43","%",20140101
5148,"Constant Trichophyton",94300060002220,137801,ID,INJ ,"1:500",,20140101
5173,"Conti Castile Soap",90973000003500,93101,EX,BAR ,,,20140101
5209,"Copper Chloride",79900010102010,292201,IV,SOLN,"0.4","MG/ML",20140101
5211,"Copper Sulfate",79900010202005,34801,IV,SOLN,"0.4","MG/ML",20140101
5214,"Copper Sulfate",79900010202900,34801,XX,POWD,,,20150107
5217,"Coppertone SPF4",90920000004100,1033401,EX,LOTN,,,20140101
5227,"Coppertone Sunblock SPF15",90920000004100,1033401,EX,LOTN,,,20140101
5229,"Coppertone Sunblock SPF30",90920000004100,681901,EX,LOTN,,,20140101
5231,"Coppertone SPF6",90920000004100,1033401,EX,LOTN,,,20140101
5238,"Cordarone",35400005000305,247501,OR,TABS,"200","MG",20140101
5240,"Cordran",90550065004105,840601,EX,LOTN,"0.05","%",20170104
5242,"Cordran",90550065004210,3367201,EX,OINT,"0.05","%",20170405
5245,"Cordran",90550065004605,57201,EX,TAPE,"4","MCG/SQCM",20140101
5251,"Corgard",33100010000303,3429801,OR,TABS,"20","MG",20160706
5252,"Corgard",33100010000305,3429801,OR,TABS,"40","MG",20160706
5253,"Corgard",33100010000310,3429801,OR,TABS,"80","MG",20160706
5255,"Coricidin HBP Cold/Flu",43992002100310,3432701,OR,TABS,"2-325","MG",20140702
5267,"Cornwall Filling Outfit",97700000006400,0,XX,KIT ,,,20140101
5268,"Cornwall Metal Pipetting",97051050106300,0,XX,MISC,,,20140101
5269,"Cornwall Rubber Washers",97700000000000,0,XX,MISC,,,20140101
5277,"Correctol Extra Gentle",46500010300110,44601,OR,CAPS,"100","MG",20140101
5306,"Cortef",22100025000305,64801,OR,TABS,"10","MG",20140101
5307,"Cortef",22100025000310,64801,OR,TABS,"20","MG",20140101
5308,"Cortef",22100025000303,64801,OR,TABS,"5","MG",20140101
5317,"Cortifoam",89150010103905,2860901,RE,FOAM,"10","%",20151007
5325,"Cortisone Acetate",22100015100310,35301,OR,TABS,"25","MG",20140101
5327,"Cortisporin",90109903103710,3665101,EX,CREA,"3.5-10000-0.5",,20160406
5328,"Cortisporin",90109904104220,442601,EX,OINT,"1","%",20140101
5331,"Cortisporin",87991003102010,921701,OT,SOLN,"3.5-10000-1",,20140101
5348,"Cortrosyn",94200037002105,35401,IJ,SOLR,"0.25","MG",20140101
5353,"Cosmegen",21200020002105,37901,IV,SOLR,"0.5","MG",20140402
5378,"Cotton Balls",97703020006300,0,XX,MISC,,,20140101
5383,"Cottonseed Oil",96202020001700,35501,XX,OIL ,,,20140101
5413,"Coumadin",83200030200303,144001,OR,TABS,"1","MG",20140101
5414,"Coumadin",83200030200325,144001,OR,TABS,"10","MG",20140101
5415,"Coumadin",83200030200310,2235801,OR,TABS,"2.5","MG",20140101
5416,"Coumadin",83200030200315,2039101,OR,TABS,"5","MG",20140101
5417,"Coumadin",83200030200320,2039101,OR,TABS,"7.5","MG",20140101
5425,"CR-Plus",79900030000330,252901,OR,TABS,"500","MCG",20140101
5427,"Cream Base",98600012003700,0,EX,CREA,,,20140101
5436,"Creo-Terpin",43102030501203,2333201,OR,SYRP,"10","MG/15ML",20140101
5444,"Crest Tartar Control",97503000004400,123501,DT,PSTE,,,20140101
5445,"Crest Tartar Control",97503000004000,123501,DT,GEL ,,,20140101
5448,"Crest",97503000004400,123501,DT,PSTE,,,20140101
5449,"Crest",97503000004000,1196301,DT,GEL ,"0.243","%",20140101
5454,"Cresylate",87400035002020,690501,OT,SOLN,"25","%",20140101
5458,"Criticare HN",81200000000900,558901,OR,LIQD,,,20140101
5474,"Cu-Plus",78500000000300,517001,OR,TABS,"2","MG",20140101
5477,"Cupric Chloride",79900010102010,292201,IV,SOLN,"0.4","MG/ML",20140101
5478,"Cupric Sulfate",79900010202005,34801,IV,SOLN,"0.4","MG/ML",20140101
5480,"Cupric Sulfate",79900010202700,34801,XX,GRAN,,,20140101
5481,"Cupric Sulfate",79900010202900,34802,XX,POWD,,,20140101
5484,"Cuprimine",99200030000110,2443001,OR,CAPS,"250","MG",20140101
5509,"Curity Eye",97603000006300,0,XX,PADS,,,20140101
5515,"Curity Kerlix Bandage Roll",97303000006300,0,XX,MISC,,,20140101
5517,"Curity Nursing",97553000004300,0,XX,PADS,,,20140101
5522,"Curity Wet-Pruf Adhesive",97304000004600,0,XX,TAPE,,,20140101
5525,"Cushion Grip",97501000006300,0,XX,MISC,,,20140101
5526,"Cutar",90520010001730,3448901,EX,OIL ,"7.5","%",20141001
5527,"Cutemol",90650003003710,1114101,EX,CREA,"0.2","%",20140101
5542,"Cutivate",90550068103710,362901,EX,CREA,"0.05","%",20140101
5550,"Cyanide Antidote",93990002106400,170901,CO,KIT ,"5-300-12.5",,20140101
5553,"Cyanocobalamin",82100010002015,143401,IJ,SOLN,"1000","MCG/ML",20140101
5554,"Cyanocobalamin",82100010000315,143401,OR,TABS,"100","MCG",20140101
5555,"Cyanocobalamin",82100010000330,143401,OR,TABS,"1000","MCG",20140101
5556,"Cyanocobalamin",82100010000320,143401,OR,TABS,"250","MCG",20140101
5557,"Cyanocobalamin",82100010000310,143401,OR,TABS,"50","MCG",20140101
5558,"Cyanocobalamin",82100010000325,143401,OR,TABS,"500","MCG",20140101
5559,"Cyanocobalamin ER",82100010000430,143401,OR,TBCR,"1000","MCG",20140101
5560,"Cyanocobalamin ER",82100010000435,143401,OR,TBCR,"1500","MCG",20140101
5561,"Cyanocobalamin ER",82100010000440,143401,OR,TBCR,"2000","MCG",20140101
5562,"Cyanocobalamin",82100010000715,143401,SL,SUBL,"2500","MCG",20140101
5573,"Cyclobenzaprine HCl",75100050100305,36501,OR,TABS,"10","MG",20160406
5577,"Cyclogyl",86350020102005,36801,OP,SOLN,"0.5","%",20160406
5578,"Cyclogyl",86350020102010,36801,OP,SOLN,"1","%",20140101
5579,"Cyclogyl",86350020102015,36801,OP,SOLN,"2","%",20140101
5580,"Cyclomydril",86359902102010,396901,OP,SOLN,"0.2-1","%",20140101
5582,"Cyclopentolate HCl",86350020102010,36801,OP,SOLN,"1","%",20140101
5583,"Cyclophosphamide",21101020002125,37001,IJ,SOLR,"1","GM",20150107
5586,"Cyclophosphamide",21101020002120,37001,IJ,SOLR,"500","MG",20150107
5603,"Cyproheptadine HCl",41500020101210,37501,OR,SYRP,"2","MG/5ML",20140101
5604,"Cyproheptadine HCl",41500020100305,37501,OR,TABS,"4","MG",20140101
5607,"Cysteine HCl",80303088102020,370801,IV,SOLN,"50","MG/ML",20161005
5612,"Cysto-Conray II",94402050102001,68901,UR,SOLN,"17.2","%",20140101
5613,"Cystografin",94402015102011,40902,UR,SOLN,"30","%",20140101
5614,"Cystografin-Dilute",94402015102005,40902,UR,SOLN,"18","%",20140101
5620,"Cytarabine",21300010002105,37601,IJ,SOLR,"100","MG",20140101
5621,"Cytarabine",21300010002110,37601,IJ,SOLR,"500","MG",20150401
5625,"Cytomel",28100020100310,124501,OR,TABS,"25","MCG",20140101
5626,"Cytomel",28100020100305,124501,OR,TABS,"5","MCG",20140101
5627,"Cytomel",28100020100315,124501,OR,TABS,"50","MCG",20140101
5633,"Cytotec",49250030000310,468901,OR,TABS,"100","MCG",20140101
5634,"Cytotec",49250030000320,468901,OR,TABS,"200","MCG",20140101
5635,"Cytovene",12200030102110,472002,IV,SOLR,"500","MG",20140101
5667,"D-Xylose",94200040002900,47701,XX,POWD,,,20140101
5670,"D.H.E. 45",67000030102005,43001,IJ,SOLN,"1","MG/ML",20140101
5680,"DDAVP",30201010102030,1907501,IJ,SOLN,"4","MCG/ML",20150701
5683,"DHS",90974000004500,648201,EX,SHAM,"0.5-0.5","%",20140101
5684,"DHS Conditioning Rinse",90974000004500,3061201,EX,LIQD,,,20140101
5685,"DHS Tar Gel",90520010004505,33201,EX,SHAM,"0.5","%",20140101
5687,"DHS Zinc",90300040004520,3156401,EX,SHAM,"2","%",20140101
5695,"DMG",99850000000300,3674301,OR,TABS,"61.4-38.6","MG",20160706
5697,"DML",90650000004100,1441401,EX,LOTN,,,20140101
5698,"DML Facial Moisturizer",90920000003700,1429701,EX,CREA,"8-4","%",20140101
5699,"DML Forte",90650000003700,0,EX,CREA,,,20140101
5700,"DOK",46500010300110,1977501,OR,CAPS,"100","MG",20150701
5712,"DSS",46500010300110,44601,OR,CAPS,"100","MG",20140101
5713,"DSS",46500010300120,44601,OR,CAPS,"250","MG",20140101
5721,"Dacarbazine",21700020002105,37801,IV,SOLR,"100","MG",20140101
5722,"Dacarbazine",21700020002110,37801,IV,SOLR,"200","MG",20140101
5725,"Daily Cleaner",86902000002000,2343401,XX,SOLN,,,20140101
5726,"Daily Combo Multi Vitamins",78310000000300,598101,OR,TABS,,,20140101
5730,"Daily Multi",78310000000300,2402301,OR,TABS,,,20140101
5737,"Daily Multiple Vitamins",78200000000300,3123101,OR,TABS,,,20150107
5748,"Daily Vitamins",78200000000300,2566501,OR,TABS,,,20150107
5757,"Daily-Vitamin",78200000000300,2845501,OR,TABS,,,20140101
5759,"Daily Vites",78200000000300,457701,OR,TABS,,,20150107
5767,"Dakins",92109902202010,123901,EX,SOLN,"0.4-0.5","%",20140101
5787,"Danazol",23100005000115,38001,OR,CAPS,"200","MG",20140101
5791,"Dandruff Shampoo",90300040004510,270401,EX,SHAM,"1","%",20140101
5797,"Dantrium",75200010102105,38201,IV,SOLR,"20","MG",20140101
5798,"Dantrium",75200010100115,2091001,OR,CAPS,"100","MG",20140101
5799,"Dantrium",75200010100105,2091001,OR,CAPS,"25","MG",20140101
5800,"Dantrium",75200010100110,2091001,OR,CAPS,"50","MG",20140101
5803,"Dapsone",16300010000320,38301,OR,TABS,"100","MG",20160406
5804,"Dapsone",16300010000310,38301,OR,TABS,"25","MG",20160706
5805,"Dara",90974000004500,1086301,EX,SHAM,,,20140101
5808,"Daraprim",13000040000310,116101,OR,TABS,"25","MG",20140101
5837,"Daypro",66100065000320,465601,OR,TABS,"600","MG",20140101
5849,"Debrox",87400030002010,2319701,OT,SOLN,"6.5","%",20140101
5865,"Decadron",22100020001005,2761001,OR,ELIX,"0.5","MG/5ML",20180704
5926,"Decongestant",42101020100305,115401,OR,TABS,"30","MG",20140101
5977,"Deep Sea Nasal Spray",42500010002010,1976901,NA,SOLN,"0.65","%",20140101
5994,"Del Clens",90973000004000,2829201,EX,GEL ,,,20140101
5997,"Del-Stat Cleanser",90973000000900,135701,EX,LIQD,,,20140101
5998,"Del-Trac",90159902304105,686701,EX,LOTN,"25-2-6","%",20140101
6005,"Delazinc",90971020004215,145001,EX,OINT,"25","%",20140101
6009,"Delestrogen",24000035201705,2415901,IM,OIL ,"10","MG/ML",20141001
6010,"Delestrogen",24000035201710,1405601,IM,OIL ,"20","MG/ML",20140101
6011,"Delestrogen",24000035201715,1405601,IM,OIL ,"40","MG/ML",20140101
6018,"Delta D3",77202032000320,298001,OR,TABS,"400","UNIT",20140101
6027,"Deltasone",22100045000325,111701,OR,TABS,"20","MG",20151007
6033,"Demerol",65100045102030,78701,IJ,SOLN,"100","MG/ML",20140101
6034,"Demerol",65100045102010,78701,IJ,SOLN,"25","MG/ML",20140101
6035,"Demerol",65100045102015,78701,IJ,SOLN,"50","MG/ML",20140101
6036,"Demerol",65100045102020,78701,IJ,SOLN,"75","MG/ML",20140101
6038,"Demerol",65100045100310,78701,OR,TABS,"100","MG",20140101
6039,"Demerol",65100045100305,78701,OR,TABS,"50","MG",20140101
6045,"Demser",36300025000110,2443101,OR,CAPS,"250","MG",20140101
6060,"Dental Floss",97502040006300,0,XX,MISC,,,20170104
6061,"Dental Floss Waxed",97502040006300,0,XX,MISC,,,20140101
